rule,weight,reason
PSTE-G2,0.5,The `MUST NOT` clause forbids passive voice in an instruction. Same basis as PSTE-G1: an actor goes missing from a command.
PSTE-G3,0.5,"`MUST` rule restricting verb forms to a closed set. A form outside the set is a grammar fault, not a content fault."
PSTE-G4,0.5,"`MUST` rule governing tense: a perfect tense is a grammar fault. The rule's own example shows a paraphrase, and no fact changes."
PSTE-G5,0.5,"`MUST` rule governing grammar: stacked auxiliaries are a fault of parsing difficulty, not a fact at risk."
PSTE-G6,0.5,`MUST` rule governing grammar: an -ing main verb is a form fault. The rule allows the same form as a noun part elsewhere.
PSTE-G7,0.5,`MUST` rule governing grammar: a nominalization restates the same action as a noun. The rule's own example adds and removes no fact.
PSTE-G8,0.5,"`MUST` rule governing grammar: a phrasal verb has a single-verb replacement in Appendix C, so the meaning survives and only the form changes."
PSTE-G9,0.5,"`MUST` rule governing grammar: a missing article is a grammar fault. Either way, the rule's own example states the same fact."
PSTE-G10,0.1,"A rule check runs this at `SHOULD`. It flags a common and often-correct pattern for a human to check, and does not fail a document on a hit alone."
PSTE-G11,0.5,"`MUST` rule governing grammar: too many adjectives is a parsing-load fault for a non-native reader, not a lost fact."
PSTE-G12,0.5,`MUST` rule governing grammar: wrong adjective order reads as wrong without changing what the adjectives describe.
PSTE-N1,0.5,"`MUST` rule governing sentence form: an instruction over the word limit is a length fault, not a dropped fact."
PSTE-N2,0.5,"`MUST` rule governing sentence form: a description over the word limit is a length fault, not a dropped fact."
PSTE-N3,0.5,`MUST` rule governing sentence form: a contraction is a register fault. The rule's own example spells out the same meaning.
PSTE-N4,0.5,"`MUST` rule governing sentence form: skipping the subject, the verb, or an article is a grammar fault. PSTE-A1 escalates it further only if a fact is dropped too."
PSTE-N5,0.5,`MUST` rule governing noun form: a multi-word noun over three words is a parsing-load fault. The rule's own example shows the same meaning in more words.
PSTE-N6,0.5,"`MUST` rule governing sentence form: two instructions in one sentence is a form fault, not a missing instruction."
PSTE-N7,0.5,"`MUST` rule governing how a word count is taken: a miscounted word changes a limit's arithmetic, not the text's content."
PSTE-D1,0.5,"`MUST` rule governing paragraph form: one topic per paragraph is an organization requirement, not a fact at risk."
PSTE-D2,0.5,`MUST` rule governing paragraph form: the six-sentence limit is a length rule like PSTE-N1 and PSTE-N2.
PSTE-D3,0.5,"`MUST` rule governing procedure form: the wrong list type for ordered steps is a presentation fault, not a lost fact."
PSTE-D4,0.5,"`MUST` rule governing list form: the wrong list type for parallel items is a presentation fault, not a lost fact."
PSTE-D5,0.5,`MUST` rule governing organization: hiding ordered steps in one sentence is a form fault. PSTE-A1 already covers the case where a fact is lost doing it.
PSTE-D6,0.5,"`MUST` rule governing order: the wrong order of information is a readability fault, not a missing fact."
PSTE-D7,0.5,"`MUST` rule governing list form: too many items in one list is a presentation fault. This specification calls it a lost heading, not a lost fact."
PSTE-D7.1,0.5,"`MUST` rule governing list form: not stating a list is complete is a missing label on the list, not a missing item."
PSTE-D8,0.5,"`MUST` rule governing document form: an unfinished topic is an organization fault, not a lost fact."
PSTE-P1,0.5,"`MUST` rule governing procedure form: a non-imperative instruction is a form fault. The rule's own example keeps the same command, worded differently."
PSTE-P2,0.5,"`MUST` rule governing procedure form: a misplaced condition is an order fault, not a missing condition. PSTE-A1 covers a condition that is dropped outright."
PSTE-P3,0.5,`MUST` rule governing procedure form: an instruction placed inside a note is an organization fault that risks the reader skipping a command meant to be followed.
PSTE-P4,0.5,"`MUST` rule governing procedure form: when the result stays unstated, the reader cannot check success. A readability fault, not a missing fact in the step."
PSTE-W1,0.8,"A writer `MUST` warn before an operation that destroys data or is not reversible. A reader who is not warned runs the command, and the damage is exactly what the warning exists to prevent."
PSTE-W2,0.8,A writer `MUST` state the scope of the effect before the command. A reader who runs the command first and reads the scope after has already caused the effect.
PSTE-W3,0.8,A writer `MUST` name the level of risk with a word. A reader who cannot tell a `warning` from a `caution` misjudges how much care the action needs.
PSTE-W4,0.8,A writer `MUST` state the exact result of the risk. A vague risk statement such as this can cause problems gives the reader nothing to act on before the damage happens.
PSTE-W5,N/A,"PSTE-W5 is `MAY` only, a permission to exceed a limit for a warning. There is no action a writer can take that breaks it."
PSTE-X1,0.1,"A semicolon is punctuation. PSTE-X2 permits every other normal mark, so this is the narrowest of the punctuation rules."
PSTE-X2,N/A,"PSTE-X2 is `MAY` only, a permission to use any other normal punctuation mark. There is no action a writer can take that breaks it."
PSTE-X3,0.1,"A missing hyphen on a compound modifier is a punctuation fault. The words and their meaning are unchanged, only momentarily harder to parse."
PSTE-X4,0.1,Parentheses used for a second idea are a punctuation and organization fault at the weak end of the scale. PSTE-X4 still permits them for a reference or an abbreviation.
PSTE-X5,0.1,"PSTE-X5 is itself a `SHOULD` rule. This specification notes it is not even an aerospace rule, added only because the em dash marks unedited machine prose."
